ticker,ensemble_probability,xgb_prob,lgbm_prob,rf_prob,models_agree,signal
SUZLON.NS,67.6,78.6,69.4,54.7,3,🟡 MILD BUY — 2-3 models agree
LTM.NS,67.3,76.2,69.7,56.0,3,🟡 MILD BUY — 2-3 models agree
TITAN.NS,67.0,75.1,72.5,53.4,3,🟡 MILD BUY — 2-3 models agree
EASEMYTRIP.NS,66.5,77.2,71.7,50.8,3,🟡 MILD BUY — 2-3 models agree
PAYTM.NS,66.3,76.0,74.2,48.8,2,🟡 MILD BUY — 2-3 models agree
IRCTC.NS,65.1,74.2,72.1,48.9,2,🟡 MILD BUY — 2-3 models agree
KOTAKBANK.NS,64.9,78.5,65.6,50.5,3,🟡 MILD BUY — 2-3 models agree
GRSE.NS,64.6,71.9,69.2,52.6,3,🟡 MILD BUY — 2-3 models agree
GODREJPROP.NS,64.2,73.5,65.4,53.8,3,🟡 MILD BUY — 2-3 models agree
UPL.NS,64.1,74.9,64.8,52.7,3,🟡 MILD BUY — 2-3 models agree
SAPPHIRE.NS,63.8,74.2,67.9,49.3,2,🟡 MILD BUY — 2-3 models agree
INDUSINDBK.NS,63.7,77.1,61.3,52.7,3,🟡 MILD BUY — 2-3 models agree
ADANIPOWER.NS,63.6,73.9,67.1,49.9,2,🟡 MILD BUY — 2-3 models agree
MAZDOCK.NS,63.5,75.1,60.2,55.2,3,🟡 MILD BUY — 2-3 models agree
PNCINFRA.NS,63.5,79.5,56.3,54.6,3,🟡 MILD BUY — 2-3 models agree
TATAELXSI.NS,63.4,74.9,60.3,55.1,3,🟡 MILD BUY — 2-3 models agree
DEVYANI.NS,63.2,73.0,66.3,50.2,3,🟡 MILD BUY — 2-3 models agree
PERSISTENT.NS,63.0,70.3,67.0,51.8,3,🟡 MILD BUY — 2-3 models agree
EIHOTEL.NS,62.6,73.4,65.5,48.8,2,🟡 MILD BUY — 2-3 models agree
