date,fii_net,dii_net
2026-08-17,-2535.1,5101.46
2026-08-18,1651.53,2579.31
2026-08-19,407.99,3973.72
2026-08-20,-583.36,3537.71
2026-08-21,-542.71,2124.14
2026-08-27,-298.26,4977.17
2026-08-31,-7985.88,4588.88
2026-09-01,1143.38,1846.94
2026-09-02,6688.37,2812.98
2026-09-03,-2345.87,4977.46
2026-09-07,280.13,566.76
2026-09-08,-123.19,1349.64
2026-09-09,-582.99,1509.04
2026-09-10,-438.24,1025.85
2026-09-11,-930.9,1968.17
2026-09-15,-2977.86,2686.05
2026-09-16,-2032.61,3908.23
2026-09-17,-3208.76,3617.75
2026-09-18,599.54,1019.69
2026-09-21,-576.2,2797.27
2026-09-22,-3809.99,4120.07
