date,ticker,S_recency,S_breadth,S_volume,S_events,pos,neg,total,smart_score,S_breadth_raw,S_volume_raw
2025-05-12,BANSALWIRE.NS,48.13138464024704,50.0,37.03100622028965,58.333333333333336,1,1,3,49.95,,
2025-05-12,BLS.NS,83.71840207195282,100.0,0.0,85.0,1,0,1,78.92,,
2025-05-12,COALINDIA.NS,85.21412668060135,100.0,58.69275622313096,71.0,5,0,5,81.97,,
2025-05-12,EASEMYTRIP.NS,61.649060666692925,75.0,21.66175000284133,50.0,1,0,2,57.41,,
2025-05-12,GOLDBEES.NS,48.09241014695168,50.0,21.66175000284133,50.0,1,1,2,46.31,,
2025-05-12,INDUSINDBK.NS,86.65958533620835,100.0,0.0,50.0,1,0,1,71.5,,
2025-05-12,IOB.NS,81.23009618631662,60.0,58.69275622313096,79.0,3,2,5,74.17,,
2025-05-12,ITBEES.NS,81.18980566263198,100.0,0.0,50.0,1,0,1,69.04,,
2025-05-12,ITC.NS,81.19824826717377,100.0,0.0,50.0,1,0,1,69.04,,
2025-05-12,JIOFIN.NS,52.3320971429348,50.0,0.0,50.0,0,0,1,46.05,,
2025-05-12,NATCOPHARM.NS,60.737987672925,100.0,0.0,75.0,1,0,1,66.08,,
2025-05-12,NBCC.NS,30.643141927816853,50.0,21.66175000284133,50.0,1,1,2,38.46,,
2025-05-12,NHPC.NS,27.87651235103608,0.0,0.0,50.0,0,1,1,25.04,,
2025-05-12,NIFTYBEES.NS,49.18771054041386,50.0,0.0,50.0,0,0,1,44.63,,
2025-05-12,NMDC.NS,86.08676696062088,100.0,0.0,50.0,1,0,1,71.24,,
2025-05-12,ONGC.NS,85.68145686626434,100.0,0.0,50.0,1,0,1,71.06,,
2025-05-12,PNB.NS,69.26335616845695,83.33333333333333,100.0,66.66666666666666,10,2,12,74.5,,
2025-05-12,RELIANCE.NS,67.97905854818947,83.33333333333333,37.03100622028965,50.0,2,0,3,63.46,,
2025-05-12,SPICEJET.NS,74.19247124414876,100.0,58.69275622313096,50.0,5,0,5,71.76,,
2025-05-12,TATAMOTORS.NS,56.93334288454056,100.0,0.0,50.0,1,0,1,58.12,,
2025-05-12,UPL.NS,50.87002701474725,75.0,48.95232750454955,50.0,3,1,4,55.29,,
2025-05-12,VEDL.NS,81.34062709462731,100.0,21.66175000284133,67.5,2,0,2,75.64,,
2025-05-12,YESBANK.NS,59.17143653854247,50.0,48.95232750454955,65.0,2,2,4,57.77,,
2025-05-13,BANSALWIRE.NS,48.13138464024704,50.0,37.03100622028965,58.333333333333336,1,1,3,49.95,,
2025-05-13,BLS.NS,83.71840207195282,100.0,0.0,85.0,1,0,1,78.92,,
2025-05-13,COALINDIA.NS,85.21412668060135,100.0,58.69275622313096,71.0,5,0,5,81.97,,
2025-05-13,EASEMYTRIP.NS,61.649060666692925,75.0,21.66175000284133,50.0,1,0,2,57.41,,
2025-05-13,INDUSINDBK.NS,86.65958533620835,100.0,0.0,50.0,1,0,1,71.5,,
2025-05-13,IOB.NS,84.63176906824113,100.0,0.0,60.0,1,0,1,73.08,,
2025-05-13,IRFC.NS,32.93559426307679,0.0,0.0,50.0,0,1,1,27.32,,
2025-05-13,ITC.NS,81.19824826717377,100.0,0.0,50.0,1,0,1,69.04,,
2025-05-13,JIOFIN.NS,52.3320971429348,50.0,0.0,50.0,0,0,1,46.05,,
2025-05-13,MMTC.NS,84.30002666020393,100.0,21.66175000284133,50.0,2,0,2,72.6,,
2025-05-13,NATCOPHARM.NS,60.737987672925,100.0,0.0,75.0,1,0,1,66.08,,
