ticker,total_signals,ss_acc_overall,ss_acc_10d,ss_trust,xgb_acc_overall,xgb_acc_10d,xgb_trust,combined_acc,combined_trust,xgb_3d_acc,ens_3d_acc,best_signal
MASTEK.NS,11,100.0,100.0,✅ TRUST,100.0,100.0,✅ TRUST,100.0,✅ TRUST,70.0,70.0,SmartScore
SOBHA.NS,6,100.0,100.0,✅ TRUST,16.7,16.7,❌ WEAK,100.0,✅ TRUST,83.3,66.7,SmartScore
HAVELLS.NS,23,82.6,90.0,✅ TRUST,34.8,50.0,❌ WEAK,91.3,✅ TRUST,66.7,85.7,Combined
SONACOMS.NS,11,81.8,80.0,✅ TRUST,36.4,40.0,❌ WEAK,90.9,✅ TRUST,33.3,33.3,Combined
ZENSARTECH.NS,10,90.0,90.0,✅ TRUST,90.0,90.0,✅ TRUST,90.0,✅ TRUST,85.7,71.4,SmartScore
DEEPAKNTR.NS,9,88.9,88.9,✅ TRUST,0.0,0.0,❌ WEAK,88.9,✅ TRUST,100.0,100.0,SmartScore
MPHASIS.NS,18,77.8,90.0,✅ TRUST,77.8,90.0,✅ TRUST,88.9,✅ TRUST,44.4,66.7,Combined
LUPIN.NS,25,88.0,80.0,✅ TRUST,72.0,80.0,✅ TRUST,88.0,✅ TRUST,72.7,68.2,SmartScore
IOC.NS,24,87.5,70.0,✅ TRUST,66.7,50.0,✅ TRUST,87.5,✅ TRUST,85.7,85.7,SmartScore
COLPAL.NS,23,82.6,60.0,✅ TRUST,78.3,80.0,✅ TRUST,87.0,✅ TRUST,66.7,71.4,Combined
TIINDIA.NS,36,83.3,60.0,✅ TRUST,22.2,40.0,❌ WEAK,86.1,✅ TRUST,93.9,93.9,Combined
HDFCAMC.NS,21,71.4,50.0,✅ TRUST,57.1,80.0,🟡 MODERATE,85.7,✅ TRUST,94.7,94.7,Combined
NESTLEIND.NS,21,81.0,70.0,✅ TRUST,38.1,40.0,❌ WEAK,85.7,✅ TRUST,42.1,63.2,Combined
TCS.NS,20,85.0,70.0,✅ TRUST,70.0,80.0,✅ TRUST,85.0,✅ TRUST,76.5,76.5,SmartScore
TATATECH.NS,24,83.3,70.0,✅ TRUST,29.2,50.0,❌ WEAK,83.3,✅ TRUST,95.5,95.5,SmartScore
INDHOTEL.NS,18,83.3,90.0,✅ TRUST,72.2,70.0,✅ TRUST,83.3,✅ TRUST,35.3,52.9,SmartScore
BPCL.NS,23,82.6,60.0,✅ TRUST,78.3,60.0,✅ TRUST,82.6,✅ TRUST,75.0,80.0,SmartScore
LODHA.NS,17,82.4,70.0,✅ TRUST,47.1,60.0,❌ WEAK,82.4,✅ TRUST,92.9,85.7,SmartScore
BAJAJFINSV.NS,28,78.6,70.0,✅ TRUST,50.0,80.0,❌ WEAK,82.1,✅ TRUST,57.7,57.7,Combined
BIKAJI.NS,11,81.8,80.0,✅ TRUST,18.2,20.0,❌ WEAK,81.8,✅ TRUST,100.0,100.0,SmartScore
SKFINDIA.NS,16,56.2,50.0,🟡 MODERATE,37.5,60.0,❌ WEAK,81.2,✅ TRUST,71.4,78.6,Combined
MMTC.NS,15,46.7,50.0,❌ WEAK,60.0,50.0,✅ TRUST,80.0,✅ TRUST,73.3,73.3,Combined
NATCOPHARM.NS,5,80.0,80.0,✅ TRUST,40.0,40.0,❌ WEAK,80.0,✅ TRUST,60.0,60.0,SmartScore
DELTACORP.NS,20,70.0,70.0,✅ TRUST,75.0,60.0,✅ TRUST,80.0,✅ TRUST,76.5,82.4,Combined
BERGEPAINT.NS,25,76.0,60.0,✅ TRUST,56.0,70.0,🟡 MODERATE,80.0,✅ TRUST,72.7,72.7,Combined
VINATIORGA.NS,15,80.0,90.0,✅ TRUST,40.0,60.0,❌ WEAK,80.0,✅ TRUST,41.7,41.7,SmartScore
MANKIND.NS,19,78.9,80.0,✅ TRUST,68.4,80.0,✅ TRUST,78.9,✅ TRUST,73.7,78.9,SmartScore
PIDILITIND.NS,14,92.9,100.0,✅ TRUST,14.3,0.0,❌ WEAK,78.6,✅ TRUST,78.6,92.9,SmartScore
BALKRISIND.NS,23,52.2,90.0,❌ WEAK,60.9,60.0,✅ TRUST,78.3,✅ TRUST,76.2,76.2,Combined
HINDALCO.NS,23,78.3,60.0,✅ TRUST,34.8,40.0,❌ WEAK,78.3,✅ TRUST,61.9,57.1,SmartScore
CIPLA.NS,23,78.3,70.0,✅ TRUST,60.9,60.0,✅ TRUST,78.3,✅ TRUST,76.2,71.4,SmartScore
GODREJPROP.NS,23,78.3,60.0,✅ TRUST,34.8,50.0,❌ WEAK,78.3,✅ TRUST,71.4,81.0,SmartScore
NHPC.NS,18,72.2,70.0,✅ TRUST,38.9,40.0,❌ WEAK,77.8,✅ TRUST,56.2,56.2,Combined
HEROMOTOCO.NS,22,45.5,50.0,❌ WEAK,54.5,60.0,🟡 MODERATE,77.3,✅ TRUST,78.9,73.7,Combined
ALKEM.NS,22,81.8,60.0,✅ TRUST,50.0,70.0,❌ WEAK,77.3,✅ TRUST,73.7,68.4,SmartScore
OBEROIRLTY.NS,22,68.2,60.0,✅ TRUST,63.6,80.0,✅ TRUST,77.3,✅ TRUST,95.0,95.0,Combined
SAIL.NS,22,72.7,60.0,✅ TRUST,72.7,70.0,✅ TRUST,77.3,✅ TRUST,73.7,63.2,Combined
BAJAJHLDNG.NS,13,76.9,70.0,✅ TRUST,23.1,30.0,❌ WEAK,76.9,✅ TRUST,63.6,63.6,SmartScore
PNCINFRA.NS,13,76.9,90.0,✅ TRUST,46.2,40.0,❌ WEAK,76.9,✅ TRUST,80.0,90.0,SmartScore
AMBUJACEM.NS,13,76.9,80.0,✅ TRUST,69.2,80.0,✅ TRUST,76.9,✅ TRUST,92.3,92.3,SmartScore
BDL.NS,17,76.5,80.0,✅ TRUST,52.9,70.0,❌ WEAK,76.5,✅ TRUST,85.7,85.7,SmartScore
TATAELXSI.NS,17,76.5,80.0,✅ TRUST,52.9,60.0,❌ WEAK,76.5,✅ TRUST,68.8,68.8,SmartScore
BAJFINANCE.NS,21,76.2,70.0,✅ TRUST,57.1,40.0,🟡 MODERATE,76.2,✅ TRUST,73.7,68.4,SmartScore
DMART.NS,21,66.7,40.0,✅ TRUST,42.9,40.0,❌ WEAK,76.2,✅ TRUST,77.8,77.8,Combined
LICI.NS,21,66.7,70.0,✅ TRUST,71.4,80.0,✅ TRUST,76.2,✅ TRUST,72.2,72.2,Combined
ULTRACEMCO.NS,21,76.2,60.0,✅ TRUST,47.6,40.0,❌ WEAK,76.2,✅ TRUST,61.1,72.2,SmartScore
RADICO.NS,25,64.0,70.0,✅ TRUST,56.0,60.0,🟡 MODERATE,76.0,✅ TRUST,81.8,81.8,Combined
TATACONSUM.NS,28,75.0,70.0,✅ TRUST,64.3,60.0,✅ TRUST,75.0,✅ TRUST,84.0,76.0,SmartScore
WIPRO.NS,20,75.0,70.0,✅ TRUST,60.0,60.0,✅ TRUST,75.0,✅ TRUST,76.5,76.5,SmartScore
BRIGADE.NS,16,56.2,30.0,🟡 MODERATE,56.2,50.0,🟡 MODERATE,75.0,✅ TRUST,92.9,100.0,Combined
HCLTECH.NS,20,75.0,60.0,✅ TRUST,55.0,50.0,🟡 MODERATE,75.0,✅ TRUST,58.8,58.8,SmartScore
LT.NS,20,75.0,70.0,✅ TRUST,75.0,70.0,✅ TRUST,75.0,✅ TRUST,64.7,64.7,SmartScore
CESC.NS,12,75.0,90.0,✅ TRUST,66.7,60.0,✅ TRUST,75.0,✅ TRUST,33.3,33.3,SmartScore
BANKBARODA.NS,20,75.0,80.0,✅ TRUST,70.0,60.0,✅ TRUST,75.0,✅ TRUST,66.7,66.7,SmartScore
DIXON.NS,19,73.7,70.0,✅ TRUST,68.4,70.0,✅ TRUST,73.7,✅ TRUST,82.4,88.2,SmartScore
COFORGE.NS,19,68.4,80.0,✅ TRUST,42.1,40.0,❌ WEAK,73.7,✅ TRUST,76.5,76.5,Combined
UBL.NS,30,73.3,50.0,✅ TRUST,26.7,50.0,❌ WEAK,73.3,✅ TRUST,92.9,89.3,SmartScore
INDUSINDBK.NS,22,72.7,70.0,✅ TRUST,59.1,60.0,🟡 MODERATE,72.7,✅ TRUST,73.7,68.4,SmartScore
