ticker,up_probability,signal,confidence
SUZLON.NS,52.3,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
PERSISTENT.NS,49.7,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
TITAN.NS,47.7,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
SPICEJET.NS,47.6,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
UPL.NS,46.7,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
NIFTYBEES.NS,46.0,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
LTIM.NS,45.7,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
M&M.NS,45.1,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
TATAELXSI.NS,45.1,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
MAZDOCK.NS,44.6,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
KOTAKBANK.NS,44.4,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
COFORGE.NS,44.0,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
LTM.NS,43.2,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
PNCINFRA.NS,43.0,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
COCHINSHIP.NS,42.7,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Low Confidence
GRSE.NS,41.0,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
KAYNES.NS,40.4,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
GOLDBEES.NS,40.1,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
IGL.NS,39.7,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
MARUTI.NS,39.2,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
BHARAT22ETF.NS,39.0,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
BRITANNIA.NS,38.9,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
BDL.NS,38.9,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
PAYTM.NS,38.3,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
ITBEES.NS,38.2,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
NTPC.NS,37.8,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
ONGC.NS,37.6,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
JUBLFOOD.NS,37.5,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
ASIANPAINT.NS,37.5,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
SJVN.NS,37.0,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
IPCALAB.NS,36.8,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
DATAPATTNS.NS,36.7,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
IEX.NS,36.7,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
HOMEFIRST.NS,36.5,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
BHEL.NS,36.4,MACRO RISK (60/100) — Crude oil surging (+3.9%) | US yield rising (+3.04%),Medium Confidence
